id;user_id;text;tag;created;updated;position;deletedAt
4;1;"Tendencia a colaborar con los superiores";short-term;"2020-04-16 22:01:51";"2020-04-16 22:11:39";0;NULL
7;727;Confiabilidad;known-strengths;"2020-04-17 09:02:00";NULL;0;NULL
8;727;Dediación;known-strengths;"2020-04-17 09:02:17";NULL;0;NULL
9;727;Honorabilidad;known-strengths;"2020-04-17 09:02:32";NULL;0;NULL
10;727;"A veces puede ser muy INTENSO";known-strengths;"2020-04-17 09:03:13";NULL;0;NULL
11;727;Porfía;known-strengths;"2020-04-17 09:03:36";NULL;0;NULL
12;727;"Puede ser Pesimista y transmite esto al resto";short-term;"2020-04-17 09:03:58";NULL;0;NULL
13;727;Planificacion;known-strengths;"2020-04-17 09:04:27";NULL;0;NULL
14;727;Coordinacion;known-strengths;"2020-04-17 09:04:39";NULL;0;NULL
15;727;Control;known-strengths;"2020-04-17 09:04:59";NULL;0;NULL
16;727;"Ser mas sociable";short-term;"2020-04-17 09:05:40";NULL;0;NULL
17;727;"ser menos impulsivo";known-strengths;"2020-04-17 09:05:57";NULL;0;NULL
18;727;"ser mas reservado con las especulaciones";short-term;"2020-04-17 09:06:21";NULL;0;NULL
19;727;"Trabajo en equipo";known-strengths;"2020-04-17 09:07:35";NULL;0;NULL
20;727;"Tiene gran conocimiento en el negocio naviero";known-strengths;"2020-04-17 09:07:49";NULL;0;NULL
21;727;"Cumple metas laborales";known-strengths;"2020-04-17 09:07:59";NULL;0;NULL
22;727;"Realizar doble check a la informacion";short-term;"2020-04-17 09:08:29";NULL;0;NULL
23;727;"Mejorar manejo en las plataformas de Excel";short-term;"2020-04-17 09:08:52";NULL;0;NULL
24;727;"No busca oportunidad de mejoras en tiempos muertos de horario laboral";short-term;"2020-04-17 09:09:24";NULL;0;NULL
25;727;Experiencia.;known-strengths;"2020-04-17 09:09:56";NULL;0;NULL
26;727;Experticia.;known-strengths;"2020-04-17 09:10:07";NULL;0;NULL
27;727;Método.;known-strengths;"2020-04-17 09:10:19";NULL;0;NULL
28;727;"Adaptarse a nuevas tecnologías.";short-term;"2020-04-17 09:10:34";NULL;0;NULL
29;727;"Adaptarse a nuevas generaciones.";short-term;"2020-04-17 09:10:50";NULL;0;NULL
30;727;"Intentar conseguir una jefatura o gerencia para aprovechar capacidad de dirección.";short-term;"2020-04-17 09:11:09";NULL;0;NULL
31;727;"Muy Responsable";known-strengths;"2020-04-17 09:11:30";NULL;0;NULL
32;727;"Dominio absoluto del rubro";known-strengths;"2020-04-17 09:11:42";NULL;0;NULL
33;727;"Buena disposición ";known-strengths;"2020-04-17 09:11:53";NULL;0;NULL
34;727;Confianza;short-term;"2020-04-17 09:12:10";NULL;0;NULL
35;727;"Generar nuevos Proyectos";short-term;"2020-04-17 09:12:24";NULL;0;NULL
